"Tabela 647 - Custo de projeto m², por tipo de projeto e padrão de acabamento"
"Variável - Custo de projeto m² (Reais)"
"Unidade da Federação - Minas Gerais"
"Padrão de acabamento - Alto"
"Mês";"Tipo de projeto"
"Mês";"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha";"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha";"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada";"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária";"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária";"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro";"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro";"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro";"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha";"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha";"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço";"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada";"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR12-3QP..6013 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR12-4QP..4050 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR18-4QP..5870 Prédio residencial, pilotis, 18 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PC.12-LA..8192 Prédio comercial, 12 pavimentos, lojas e salas autônomas";"PC.18-LA.11072 Prédio comercial, 18 pavimentos, lojas e salas autônomas";"PC.12-LC..6862 Prédio comercial, 12 pavimentos, lojas e andar corrido";"PC.18-LC.10111 Prédio comercial, 18 pavimentos, lojas e andar corrido";"CB-M........31 Projeto-tipo cesta básica, materiais, sala, quarto, circulação, banheiro e cozinha";"CB-MMIN.....23 Projeto-tipo cesta básica, materiais mínimos, sala, circulação, banheiro e cozinha";"CB-M........23 Projeto-tipo cesta básica, materiais, sala, circulação, banheiro e cozinha";"CB-MMO......31 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, quarto, circulação, banheiro e cozinha";"CB-MMO......23 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, circulação, banheiro e cozinha"
"janeiro 1999";"-";"-";"-";"296,06";"280,79";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"325,25";"286,58";"288,14";"265,66";"233,16";"306,77";"267,86";"271,60";"317,83";"269,74";"263,72";"260,19";"254,09";"255,00";"252,75";"257,38";"-";"-";"-";"-";"-"
"fevereiro 1999";"-";"-";"-";"302,39";"286,83";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"333,03";"293,28";"294,78";"271,69";"237,98";"313,92";"273,95";"277,43";"325,29";"275,92";"269,24";"265,58";"262,10";"263,23";"264,33";"269,28";"-";"-";"-";"-";"-"
"março 1999";"-";"-";"-";"308,75";"292,94";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"338,43";"298,33";"299,71";"276,65";"242,13";"318,99";"278,74";"282,22";"330,49";"280,69";"273,84";"270,26";"270,35";"271,86";"276,98";"282,25";"-";"-";"-";"-";"-"
"abril 1999";"-";"-";"-";"310,99";"295,16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"340,45";"299,94";"301,42";"278,01";"243,15";"320,96";"280,23";"283,58";"332,57";"282,22";"275,15";"272,44";"269,91";"271,61";"276,32";"281,40";"-";"-";"-";"-";"-"
"maio 1999";"-";"-";"-";"311,49";"295,65";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342,94";"302,48";"303,90";"280,38";"245,40";"323,53";"282,74";"286,05";"335,31";"284,83";"277,23";"274,32";"272,60";"274,29";"280,13";"285,57";"-";"-";"-";"-";"-"
"junho 1999";"-";"-";"-";"309,73";"293,97";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"340,63";"300,61";"301,88";"278,67";"244,26";"321,30";"280,98";"284,62";"332,97";"283,04";"275,72";"271,92";"273,32";"274,63";"282,10";"287,50";"-";"-";"-";"-";"-"
"julho 1999";"-";"-";"-";"311,33";"295,55";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342,26";"301,90";"303,23";"279,80";"244,95";"322,68";"282,02";"285,42";"334,34";"284,03";"276,68";"273,01";"272,71";"274,33";"280,56";"285,95";"-";"-";"-";"-";"-"
"agosto 1999";"-";"-";"-";"312,69";"296,79";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"342,85";"302,36";"303,54";"280,10";"245,12";"323,17";"282,40";"285,89";"334,87";"284,42";"277,14";"274,24";"274,42";"276,31";"286,73";"292,37";"-";"-";"-";"-";"-"
"setembro 1999";"-";"-";"-";"314,61";"298,62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"345,94";"305,35";"306,99";"283,38";"248,17";"326,63";"285,64";"289,15";"338,43";"287,66";"280,18";"276,23";"278,06";"280,08";"291,41";"297,27";"-";"-";"-";"-";"-"
"outubro 1999";"-";"-";"-";"317,94";"301,74";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"349,13";"308,12";"309,69";"285,81";"250,55";"329,66";"288,25";"291,84";"341,65";"290,34";"282,81";"278,78";"280,91";"282,75";"294,79";"300,89";"-";"-";"-";"-";"-"
"novembro 1999";"-";"-";"-";"322,05";"305,70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"355,64";"313,96";"315,56";"291,27";"255,18";"335,52";"293,42";"296,98";"347,67";"295,48";"287,83";"283,73";"286,67";"288,50";"300,86";"307,23";"-";"-";"-";"-";"-"
"dezembro 1999";"-";"-";"-";"322,72";"306,29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"356,84";"315,33";"316,93";"292,75";"255,55";"336,80";"294,82";"297,47";"348,92";"296,83";"288,16";"283,89";"291,31";"293,23";"308,72";"315,18";"-";"-";"-";"-";"-"
"janeiro 2000";"-";"-";"-";"330,22";"312,96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"363,77";"322,01";"323,75";"299,69";"260,78";"343,97";"301,80";"304,31";"356,41";"303,91";"294,78";"290,09";"299,84";"301,46";"307,07";"313,98";"-";"-";"-";"-";"-"
"fevereiro 2000";"-";"-";"-";"331,68";"314,38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"366,59";"324,65";"326,17";"302,00";"262,49";"346,08";"303,76";"306,03";"358,42";"305,73";"296,43";"291,64";"301,82";"303,50";"309,45";"316,33";"-";"-";"-";"-";"-"
"março 2000";"-";"-";"-";"335,34";"317,96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"370,71";"328,28";"329,70";"305,33";"265,74";"349,81";"307,07";"309,70";"362,24";"309,03";"300,70";"295,83";"305,27";"306,99";"311,86";"318,75";"-";"-";"-";"-";"-"
