"Tabela 647 - Custo de projeto m², por tipo de projeto e padrão de acabamento"
"Variável - Custo de projeto m² (Reais)"
"Unidade da Federação - Minas Gerais"
"Padrão de acabamento - Baixo"
"Mês";"Tipo de projeto"
"Mês";"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha";"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha";"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada";"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária";"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária";"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro";"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro";"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro";"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha";"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha";"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço";"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada";"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR12-3QP..6013 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR12-4QP..4050 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR18-4QP..5870 Prédio residencial, pilotis, 18 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PC.12-LA..8192 Prédio comercial, 12 pavimentos, lojas e salas autônomas";"PC.18-LA.11072 Prédio comercial, 18 pavimentos, lojas e salas autônomas";"PC.12-LC..6862 Prédio comercial, 12 pavimentos, lojas e andar corrido";"PC.18-LC.10111 Prédio comercial, 18 pavimentos, lojas e andar corrido";"CB-M........31 Projeto-tipo cesta básica, materiais, sala, quarto, circulação, banheiro e cozinha";"CB-MMIN.....23 Projeto-tipo cesta básica, materiais mínimos, sala, circulação, banheiro e cozinha";"CB-M........23 Projeto-tipo cesta básica, materiais, sala, circulação, banheiro e cozinha";"CB-MMO......31 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, quarto, circulação, banheiro e cozinha";"CB-MMO......23 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, circulação, banheiro e cozinha"
"janeiro 1999";"194,95";"218,66";"223,02";"184,23";"173,16";"-";"-";"262,91";"261,76";"235,12";"239,54";"211,79";"224,64";"213,99";"236,63";"215,25";"186,72";"165,00";"218,24";"197,89";"193,10";"181,44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"fevereiro 1999";"199,42";"223,76";"228,07";"188,36";"177,00";"-";"-";"268,36";"267,30";"239,89";"244,40";"216,00";"229,08";"218,55";"242,19";"220,12";"190,87";"168,81";"223,36";"202,45";"197,58";"185,57";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"março 1999";"204,46";"229,42";"233,68";"193,23";"181,62";"-";"-";"274,20";"273,65";"245,27";"250,40";"220,89";"234,76";"224,43";"248,11";"226,31";"195,81";"171,55";"228,55";"207,21";"202,12";"190,02";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"abril 1999";"204,83";"229,86";"234,28";"193,65";"182,00";"-";"-";"276,10";"275,24";"246,84";"251,77";"222,25";"236,00";"225,37";"248,71";"227,06";"196,68";"171,82";"228,84";"207,45";"202,37";"190,22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"maio 1999";"205,57";"230,70";"235,29";"194,38";"182,70";"-";"-";"278,47";"277,10";"248,79";"253,49";"223,94";"237,62";"226,84";"249,65";"228,23";"198,05";"174,69";"231,68";"210,20";"205,11";"192,82";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"junho 1999";"204,50";"229,53";"233,67";"193,24";"181,65";"-";"-";"275,94";"275,32";"246,93";"251,99";"222,53";"236,29";"225,55";"248,32";"226,73";"196,45";"174,28";"230,83";"209,34";"204,27";"191,93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"julho 1999";"204,92";"229,94";"234,13";"193,58";"181,95";"-";"-";"276,51";"275,78";"247,37";"252,39";"222,85";"236,61";"225,71";"248,79";"227,32";"196,83";"173,97";"230,92";"209,46";"204,40";"192,09";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"agosto 1999";"205,60";"230,72";"234,97";"194,23";"182,56";"-";"-";"277,61";"276,75";"248,29";"253,26";"223,65";"237,45";"226,62";"249,66";"228,11";"197,61";"173,81";"230,99";"209,41";"204,42";"192,05";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"setembro 1999";"205,95";"231,07";"235,27";"194,57";"182,84";"-";"-";"280,87";"279,46";"251,03";"255,76";"226,01";"239,82";"228,87";"250,17";"229,28";"198,73";"176,68";"233,59";"211,96";"207,05";"194,64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"outubro 1999";"207,30";"232,54";"236,67";"195,78";"184,00";"-";"-";"284,08";"282,23";"253,66";"258,23";"228,24";"242,14";"230,93";"251,86";"230,91";"200,39";"178,80";"235,53";"213,77";"209,00";"196,48";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"novembro 1999";"211,31";"237,00";"241,04";"199,44";"187,48";"-";"-";"290,43";"287,89";"259,10";"263,31";"233,05";"246,90";"235,25";"256,77";"235,40";"204,65";"183,06";"240,68";"218,50";"213,65";"200,85";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"dezembro 1999";"214,04";"240,01";"244,07";"202,06";"190,01";"-";"-";"293,37";"290,37";"261,67";"265,62";"235,34";"249,13";"237,22";"259,92";"238,00";"207,12";"184,76";"242,99";"220,68";"215,80";"202,91";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"janeiro 2000";"224,18";"251,18";"255,05";"211,60";"199,02";"-";"-";"300,41";"297,90";"267,60";"272,27";"240,21";"255,09";"243,18";"271,79";"248,93";"216,15";"191,51";"253,48";"230,15";"225,03";"211,54";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"fevereiro 2000";"225,06";"252,20";"256,14";"212,42";"199,78";"-";"-";"301,46";"298,86";"268,52";"273,14";"241,02";"255,88";"243,97";"272,84";"250,41";"217,54";"192,57";"255,06";"231,70";"226,52";"213,00";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"março 2000";"227,41";"254,63";"258,89";"214,92";"202,22";"-";"-";"302,42";"299,87";"269,78";"274,41";"242,42";"257,30";"245,10";"275,14";"252,48";"219,53";"193,88";"257,06";"233,59";"228,22";"214,66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
