"Tabela 647 - Custo de projeto m², por tipo de projeto e padrão de acabamento"
"Variável - Custo de projeto m² (Reais)"
"Unidade da Federação - Minas Gerais"
"Padrão de acabamento - Mínimo"
"Mês";"Tipo de projeto"
"Mês";"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha";"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha";"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada";"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária";"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária";"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro";"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro";"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro";"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha";"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha";"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço";"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada";"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR12-3QP..6013 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR12-4QP..4050 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR18-4QP..5870 Prédio residencial, pilotis, 18 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PC.12-LA..8192 Prédio comercial, 12 pavimentos, lojas e salas autônomas";"PC.18-LA.11072 Prédio comercial, 18 pavimentos, lojas e salas autônomas";"PC.12-LC..6862 Prédio comercial, 12 pavimentos, lojas e andar corrido";"PC.18-LC.10111 Prédio comercial, 18 pavimentos, lojas e andar corrido";"CB-M........31 Projeto-tipo cesta básica, materiais, sala, quarto, circulação, banheiro e cozinha";"CB-MMIN.....23 Projeto-tipo cesta básica, materiais mínimos, sala, circulação, banheiro e cozinha";"CB-M........23 Projeto-tipo cesta básica, materiais, sala, circulação, banheiro e cozinha";"CB-MMO......31 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, quarto, circulação, banheiro e cozinha";"CB-MMO......23 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, circulação, banheiro e cozinha"
"janeiro 1999";"161,51";"181,43";"188,46";"-";"-";"367,94";"459,52";"231,53";"229,83";"204,63";"208,20";"182,83";"194,78";"188,27";"198,59";"185,45";"159,48";"139,88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"69,10";"61,74";"76,97";"154,48";"176,97"
"fevereiro 1999";"164,87";"185,26";"192,37";"-";"-";"377,55";"472,00";"236,03";"234,37";"208,51";"212,10";"186,24";"198,35";"191,73";"202,87";"189,14";"162,73";"143,02";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70,25";"63,01";"78,26";"157,33";"180,22"
"março 1999";"169,57";"190,53";"197,65";"-";"-";"383,16";"478,81";"241,59";"240,41";"213,61";"217,78";"190,86";"203,74";"197,04";"208,41";"194,93";"167,44";"145,47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70,63";"63,23";"78,61";"162,69";"186,37"
"abril 1999";"169,85";"190,87";"198,14";"-";"-";"387,65";"484,59";"242,94";"241,45";"214,59";"218,57";"191,63";"204,40";"197,81";"208,90";"195,57";"168,23";"145,59";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71,07";"63,73";"79,20";"163,12";"186,96"
"maio 1999";"170,42";"191,52";"198,97";"-";"-";"389,41";"486,66";"244,82";"242,91";"216,05";"219,87";"192,88";"205,61";"199,15";"209,64";"196,61";"169,44";"148,29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71,36";"64,02";"79,42";"163,43";"187,19"
"junho 1999";"169,54";"190,58";"197,53";"-";"-";"382,29";"477,69";"242,83";"241,65";"214,76";"218,86";"191,99";"204,75";"198,06";"208,49";"195,20";"167,93";"147,88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"69,74";"62,80";"77,43";"161,80";"185,20"
"julho 1999";"170,09";"191,15";"198,17";"-";"-";"385,14";"481,17";"244,42";"243,12";"216,18";"220,20";"193,26";"205,99";"198,97";"209,16";"195,93";"168,44";"147,64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70,18";"63,15";"78,08";"162,24";"185,85"
"agosto 1999";"170,71";"191,85";"198,91";"-";"-";"386,44";"482,82";"245,30";"243,87";"216,90";"220,87";"193,88";"206,64";"199,61";"209,92";"196,67";"169,14";"147,37";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70,94";"63,69";"78,95";"163,00";"186,72"
"setembro 1999";"171,87";"193,10";"200,05";"-";"-";"391,04";"488,09";"248,19";"246,19";"219,24";"222,99";"195,83";"208,63";"201,69";"211,30";"198,26";"170,81";"150,21";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"71,85";"63,97";"79,96";"163,92";"187,74"
"outubro 1999";"173,21";"194,54";"201,43";"-";"-";"396,03";"494,44";"251,85";"249,41";"222,31";"225,88";"198,50";"211,38";"203,97";"212,98";"199,83";"172,45";"152,23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"73,03";"64,64";"81,36";"165,09";"189,13"
"novembro 1999";"176,85";"198,60";"205,44";"-";"-";"406,40";"507,26";"256,83";"253,68";"226,33";"229,56";"201,90";"214,75";"207,48";"217,52";"203,99";"176,44";"156,17";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76,28";"67,40";"84,97";"168,35";"192,74"
"dezembro 1999";"178,75";"200,69";"207,64";"-";"-";"410,15";"511,60";"259,28";"255,67";"228,37";"231,41";"203,68";"216,52";"209,20";"219,79";"206,13";"178,38";"157,80";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"78,10";"68,74";"86,98";"170,17";"194,75"
"janeiro 2000";"187,09";"209,89";"216,85";"-";"-";"422,50";"527,34";"268,78";"265,67";"236,92";"240,67";"211,39";"225,30";"217,43";"229,64";"215,32";"185,90";"163,46";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"79,76";"69,96";"88,62";"178,46";"204,16"
"fevereiro 2000";"187,59";"210,50";"217,59";"-";"-";"425,35";"530,87";"270,25";"267,04";"238,20";"241,84";"212,54";"226,36";"218,32";"230,28";"216,37";"186,97";"164,22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"80,33";"70,57";"89,37";"179,03";"204,92"
"março 2000";"188,93";"211,97";"219,37";"-";"-";"425,58";"531,18";"271,66";"268,52";"239,80";"243,44";"214,21";"228,05";"219,41";"231,70";"217,53";"188,01";"164,64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"81,13";"71,07";"90,14";"179,80";"205,66"
