"Tabela 647 - Custo de projeto m², por tipo de projeto e padrão de acabamento"
"Variável - Custo de projeto m² (Reais)"
"Unidade da Federação - Minas Gerais"
"Padrão de acabamento - Normal"
"Mês";"Tipo de projeto"
"Mês";"CP.1-2Q.....46 Casa popular, 1 pavimento, varanda, sala, 2 quartos, circulação, banheiro e cozinha";"CP.1-2Q.....40 Casa popular, 1 pavimento, sala, 2 quartos, circulação, banheiro e cozinha";"CR.1-2Q.....62 Casa residencial, 1 pavimento, varanda, sala,2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"CR.1-3Q....104 Casa residencial, 1 pavimento, varanda, sala,3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"CR.1-4Q....122 Casa residencial, 1 pavimento, varanda, sala,4 quartos, circulação, 2 banheiros, cozinha, área de serviço, quarto e WC de empregada";"EA.1-US.....04 Especificação tipo ""A"", 1 pavimento, somente unidade sanitária";"EB.1-US.....03 Especificação tipo ""B"", 1 pavimento, somente unidade sanitária";"EA.1-0Q.....22 Especificação tipo ""A"", 1 pavimento, sala, cozinha e banheiro";"EB.1-0Q.....22 Especificação tipo ""B"", 1 pavimento, sala, cozinha e banheiro";"EA.1-1Q.....30 Especificação tipo ""A"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EB.1-1Q.....32 Especificação tipo ""B"", 1 pavimento, sala, 1 quarto, cozinha e banheiro";"EA.2-2Q.....38 Especificação tipo ""A"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.1-2Q.....39 Especificação tipo ""B"", 1 pavimento, sala, 2 quartos, cozinha e banheiro";"EB.2-2Q.....45 Especificação tipo ""B"", 2 pavimentos, sala, 2 quartos, cozinha e banheiro";"CP.1-1Q.....30 Casa popular, 1 pavimento, sala, 1 quarto, circulação, banheiro e cozinha";"CP.2-3Q.....56 Casa popular, 2 pavimentos, sala, 3 quartos, circulação, banheiro e cozinha";"CR.2-2Q.....81 Casa residencial, geminada, 2 pavimentos, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR5-2QT...2125 Prédio residencial, térreo, 5 pavimentos tipo, sala, 2 quartos, banheiro, cozinha e área de serviço";"PR4-2QT...1433 Prédio residencial, térreo, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QT...2264 Prédio residencial, térreo, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR4-2QP...1643 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR4-3QP...2520 Prédio residencial, pilotis, 4 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR6-3QP...7181 Prédio residencial, pilotis, 6 pavimentos tipo, sala, 3 quartos, circulação, 2 banheiros, copa-cozinha, área de serviço, quarto e WC de empregada";"PR8-2QP...2620 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...4266 Prédio residencial, pilotis, 8 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR8-3QP...3176 Prédio residencial, pilotis, 8 pavimentos tipo, 2 salas, 3 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR12-2QP..3597 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 2 quartos, circulação, banheiro, cozinha, área de serviço, quarto e WC de empregada";"PR12-3QP..6013 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 3 quartos, circulação, banheiro, lavabo, cozinha, área de serviço, quarto e WC de empregada";"PR12-4QP..4050 Prédio residencial, pilotis, 12 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PR18-4QP..5870 Prédio residencial, pilotis, 18 pavimentos tipo, sala, 4 quartos, circulação, 2 banheiros, lavabo, copa-cozinha, área de serviço, quarto e WC de empregada";"PC.12-LA..8192 Prédio comercial, 12 pavimentos, lojas e salas autônomas";"PC.18-LA.11072 Prédio comercial, 18 pavimentos, lojas e salas autônomas";"PC.12-LC..6862 Prédio comercial, 12 pavimentos, lojas e andar corrido";"PC.18-LC.10111 Prédio comercial, 18 pavimentos, lojas e andar corrido";"CB-M........31 Projeto-tipo cesta básica, materiais, sala, quarto, circulação, banheiro e cozinha";"CB-MMIN.....23 Projeto-tipo cesta básica, materiais mínimos, sala, circulação, banheiro e cozinha";"CB-M........23 Projeto-tipo cesta básica, materiais, sala, circulação, banheiro e cozinha";"CB-MMO......31 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, quarto, circulação, banheiro e cozinha";"CB-MMO......23 Projeto-tipo cesta básica, materiais e mão-de-obra, sala, circulação, banheiro e cozinha"
"janeiro 1999";"267,83";"299,87";"299,31";"253,76";"241,31";"-";"-";"-";"-";"-";"-";"-";"-";"-";"326,71";"275,62";"237,33";"217,30";"280,53";"250,17";"246,15";"228,23";"199,63";"262,62";"231,32";"232,91";"272,64";"233,54";"222,62";"219,52";"219,85";"222,06";"236,76";"242,92";"-";"-";"-";"-";"-"
"fevereiro 1999";"273,67";"306,48";"305,79";"259,16";"246,47";"-";"-";"-";"-";"-";"-";"-";"-";"-";"333,86";"282,00";"242,51";"222,89";"287,48";"256,22";"252,09";"233,60";"204,01";"268,98";"236,76";"238,16";"279,28";"239,06";"227,61";"224,38";"226,87";"229,40";"248,01";"254,51";"-";"-";"-";"-";"-"
"março 1999";"279,75";"313,23";"312,60";"265,17";"252,24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"340,45";"289,15";"248,04";"225,04";"292,78";"261,14";"256,74";"238,23";"207,93";"273,88";"241,32";"242,66";"284,34";"243,63";"232,01";"228,89";"233,73";"236,80";"260,08";"266,94";"-";"-";"-";"-";"-"
"abril 1999";"281,63";"315,37";"314,72";"266,99";"254,09";"-";"-";"-";"-";"-";"-";"-";"-";"-";"343,04";"291,11";"250,10";"226,76";"294,40";"262,50";"258,03";"239,33";"208,79";"275,39";"242,55";"243,84";"285,95";"244,91";"233,19";"230,93";"233,88";"237,00";"259,54";"266,22";"-";"-";"-";"-";"-"
"maio 1999";"282,16";"315,94";"315,41";"267,49";"254,58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"343,71";"292,05";"251,24";"229,28";"296,77";"264,89";"260,45";"241,68";"211,13";"277,88";"244,99";"246,42";"288,59";"247,42";"235,41";"232,93";"236,97";"239,93";"263,37";"270,39";"-";"-";"-";"-";"-"
"junho 1999";"280,43";"314,00";"313,08";"265,80";"252,93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"341,20";"289,93";"249,07";"227,36";"294,54";"262,99";"258,48";"239,87";"209,86";"275,73";"243,14";"244,88";"286,34";"245,56";"233,75";"230,40";"236,78";"239,59";"265,07";"272,05";"-";"-";"-";"-";"-"
"julho 1999";"282,00";"315,76";"314,74";"267,15";"254,26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"343,27";"291,41";"250,22";"228,36";"295,83";"263,99";"259,58";"240,79";"210,39";"276,81";"243,94";"245,40";"287,40";"246,30";"234,44";"231,21";"236,38";"239,40";"263,57";"270,55";"-";"-";"-";"-";"-"
"agosto 1999";"283,37";"317,36";"316,26";"268,41";"255,44";"-";"-";"-";"-";"-";"-";"-";"-";"-";"345,05";"292,80";"251,58";"228,58";"296,37";"264,36";"259,96";"241,10";"210,55";"277,32";"244,30";"245,80";"287,92";"246,65";"234,85";"232,38";"237,66";"241,03";"269,64";"276,88";"-";"-";"-";"-";"-"
"setembro 1999";"285,24";"319,39";"318,16";"270,31";"257,28";"-";"-";"-";"-";"-";"-";"-";"-";"-";"347,18";"295,02";"253,83";"231,84";"299,38";"267,32";"263,02";"244,14";"213,40";"280,49";"247,38";"248,92";"291,24";"249,77";"237,76";"234,26";"241,40";"244,80";"274,28";"281,76";"-";"-";"-";"-";"-"
"outubro 1999";"288,27";"322,89";"321,33";"273,01";"259,86";"-";"-";"-";"-";"-";"-";"-";"-";"-";"351,26";"297,63";"256,37";"234,62";"302,00";"269,57";"265,53";"246,40";"215,53";"283,15";"249,68";"251,25";"294,00";"252,08";"240,01";"236,40";"243,71";"247,03";"277,57";"285,28";"-";"-";"-";"-";"-"
"novembro 1999";"291,80";"326,88";"325,31";"276,32";"263,03";"-";"-";"-";"-";"-";"-";"-";"-";"-";"355,71";"301,99";"260,59";"239,61";"307,73";"274,75";"270,81";"251,32";"219,63";"288,32";"254,28";"255,75";"299,29";"256,63";"244,25";"240,56";"248,80";"252,16";"283,41";"291,39";"-";"-";"-";"-";"-"
"dezembro 1999";"293,12";"328,33";"326,83";"277,54";"264,27";"-";"-";"-";"-";"-";"-";"-";"-";"-";"357,33";"303,64";"262,05";"240,68";"309,28";"276,33";"272,51";"253,01";"220,77";"290,00";"255,92";"256,92";"300,98";"258,24";"245,34";"241,55";"252,24";"255,81";"290,90";"299,00";"-";"-";"-";"-";"-"
"janeiro 2000";"301,83";"337,68";"336,52";"286,26";"272,20";"-";"-";"-";"-";"-";"-";"-";"-";"-";"366,04";"313,03";"269,33";"243,81";"316,99";"283,36";"279,99";"260,13";"226,05";"297,99";"263,22";"263,72";"309,35";"265,69";"251,66";"247,53";"259,67";"262,89";"288,69";"297,27";"-";"-";"-";"-";"-"
"fevereiro 2000";"303,11";"339,20";"338,05";"287,43";"273,36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"367,69";"314,80";"270,98";"245,16";"318,87";"285,11";"281,80";"261,81";"227,42";"299,39";"264,47";"265,03";"310,60";"266,78";"252,78";"248,56";"260,92";"264,17";"290,81";"299,33";"-";"-";"-";"-";"-"
"março 2000";"306,25";"342,57";"341,61";"290,54";"276,36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"371,04";"317,51";"273,11";"246,40";"320,96";"286,90";"284,05";"263,77";"229,03";"301,57";"266,30";"266,97";"312,75";"268,54";"254,58";"250,35";"262,25";"265,59";"292,72";"301,19";"-";"-";"-";"-";"-"
"abril 2000";"308,94";"345,54";"344,45";"293,02";"278,70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"374,47";"319,21";"274,68";"246,95";"321,92";"287,78";"284,86";"264,57";"229,62";"302,48";"267,16";"267,84";"313,65";"269,38";"255,33";"251,00";"262,77";"265,95";"292,84";"301,15";"-";"-";"-";"-";"-"
"maio 2000";"310,99";"347,68";"346,44";"295,01";"280,66";"-";"-";"-";"-";"-";"-";"-";"-";"-";"376,53";"320,87";"276,09";"247,40";"322,88";"288,62";"285,61";"265,29";"230,27";"303,27";"267,86";"268,56";"314,50";"270,10";"256,18";"251,89";"263,65";"267,12";"294,55";"302,94";"-";"-";"-";"-";"-"
"junho 2000";"311,10";"347,88";"346,87";"294,96";"280,58";"-";"-";"-";"-";"-";"-";"-";"-";"-";"376,83";"321,18";"276,24";"247,90";"323,39";"289,02";"286,02";"265,61";"230,56";"303,70";"268,18";"268,87";"314,93";"270,43";"256,44";"252,14";"264,01";"267,46";"295,88";"304,26";"-";"-";"-";"-";"-"
"julho 2000";"312,40";"349,29";"348,23";"296,10";"281,67";"-";"-";"-";"-";"-";"-";"-";"-";"-";"378,37";"322,09";"277,00";"248,37";"323,86";"289,43";"286,39";"265,94";"230,89";"304,03";"268,47";"269,19";"315,29";"270,73";"256,78";"252,51";"264,03";"267,46";"295,04";"303,46";"-";"-";"-";"-";"-"
"agosto 2000";"313,56";"350,61";"349,87";"297,57";"282,93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"379,90";"323,06";"278,32";"249,13";"325,24";"290,74";"287,52";"267,12";"232,04";"305,30";"269,69";"270,60";"316,63";"271,99";"258,17";"253,90";"265,89";"269,23";"298,94";"307,46";"-";"-";"-";"-";"-"
"setembro 2000";"313,43";"350,43";"350,05";"297,72";"283,01";"-";"-";"-";"-";"-";"-";"-";"-";"-";"379,47";"323,01";"278,48";"248,83";"325,24";"290,81";"287,58";"267,22";"232,24";"305,34";"269,80";"270,71";"316,68";"272,09";"258,29";"254,03";"266,33";"269,68";"299,78";"308,38";"-";"-";"-";"-";"-"
"outubro 2000";"313,79";"350,72";"351,71";"298,76";"283,79";"-";"-";"-";"-";"-";"-";"-";"-";"-";"379,84";"323,12";"279,38";"248,76";"326,43";"291,87";"288,49";"267,94";"232,91";"306,43";"270,66";"271,22";"317,83";"273,01";"258,94";"254,74";"266,10";"269,68";"300,15";"308,82";"-";"-";"-";"-";"-"
